Section/Column,Name,Notes
Venue Prep,Banner Safety Instructions,"https://melbourneso.sharepoint.com/:w:/s/MarketingSales2/ETzRMEGtXaxMiX8-ZbHGG2EBqqoY8QPI7p-et6JaqXxOPw?e=vAOrdZ
(Where should we leave this link?)"
Venue Prep,Hamer Hall,"Where do I go? 
Hamer Hall is located at 100 St Kilda Road, Southbank. You'll need to enter via Stage Door, which is around to the left of the central entrance. From there, you'll be given a pass and storage room key, and can be directed through the back hallway and upstairs to the Box Office. The MSO VIP Box Office Computers are on the farthest right-hand side when looking at the Box Office. 

Who do I speak to about Ticketing Issues? 
Arts Centre Box Office will be directly to your right when seated at the MSO VIP Box Office. Because our tickets will be consigned to them, they'll be able to check house numbers, availability, names of customers, and reprint or pull comps if need be.

What needs to be brought to the venue?
Relevant banners (detailed in concert sheet sent ahead of shift). Other required amenities including ticket stock, season brochures, lost ticket books and BO signage (open and QR) are stored at Hamer Hall's counter/closet permanently and are restocked/replaced during regular midweek venue runs. If you've noticed that we're low on one of these items or if they're damaged, please flag it in the concert report.

What needs setting up?  
1x FOTMSO Banner, 1x MSO Generic Banner (plus other relevant banners if required) in the foyer. You'll also need to log on to the Box Office computers. 

Anything else? 
The password for the Box Office computer is Beethoven19! There will also be season brochures, programs, and other material in the storage room behind the Box Office computers. 

#venue #prep #shift #setup"
,Swing Arm Seats (Hamer Hall Access),
,Kingsize/Bariatric Chair (for guests needing a larger chair),"For customers needing a larger chair, this can be booked the same as a wheelchair space booking, but please note in the CSI to place a Bariatric Chair in. Just had a look at the order - most suitable would be H53-54 (with the chair to be placed in H54-55). The dimension of the chair are below:

https://app.asana.com/app/asana/-/get_asset?asset_id=1209575413888347


"
Venue Prep,Melbourne Town Hall (MTH),"Where do I go? 
Melbourne Town Hall is located at 90/130 Swanston St. You can head up the main stairway, and the foyer is right at the top through the doors. You don't need anything specific to get in, but may need to tell Security you're with MSO.

Who do I speak to about Ticketing Issues? 
We're the only Box Office at MTH! Please ask your TL or SUP on call. 
If it's a broad ticketing issue, it may be good to flag with ACM who usher these performances.

What needs setting up?  
1x FOTMSO Banner, 1x MSO Generic Banner in the foyer. 
There will be 2-3 long tables to the left when entering MTH. On these, please set up 2x laptops, mini BOCA, eftpos machines, wifi dongles, ticket alligator, and programs for payment. The power point is behind the fake windows behind the table. 

Anything else? 
The farthest table to the left, when facing the tables, is reserved for the cloakroom.
St Johns Ambulance are also to the left of the Box Office, and attend in case of medical emergencies. 
The Balcony at MTH is very steep without much in the way of handrails. Customers can be relocated if needed.
There is an Organ Recital at 6:30pm for Town Hall performances, unless otherwise directed. Audience members will need a ticket to the performance to attend the Organ Recital. 


#venue #prep #shift #setup #remote"
Venue Prep,Melbourne Recital Centre (MRC),"Where do I go? 
Melbourne Recital Centre is typically open when our Box Office arrives, so you can enter through the main doors and the Box Office is straight ahead. If you have any issues, Stage Door is around the corner to the right when facing the front doors. 

Who do I speak to about Ticketing Issues? 
MRC Box Office will be directly to your left when seated at the MSO pop-up Box Office. Because our tickets will be consigned to them, they'll be able to check house numbers, availability, names of customers, and reprint or pull comps if need be.

What needs setting up?  
1x FOTMSO Banner, 1x MSO Generic Banner in the foyer.
There will be a table with black tablecloth to the left of the MSO Box Office when approaching the Box Office. There you will need to set up 2x laptops, eftpos machines, and prepare programs and lost ticket passes. 

Anything else? 
MSO performances take place in the Elisabeth Murdoch Hall, one level up. There are sometimes other performances on at the Primrose Potter Salon at the same time, which is on the same floor as the Box Office.

#venue #prep #shift #setup #remote"
Venue Prep,Iwaki Auditorium,"Where do I go? 
Iwaki Auditorium is inside the ABC Building, to the far right of the building when facing the front. You'll need to enter via the main ABC entrance, as typically the Iwaki doors are locked when we arrive. 

Who do I speak to about Ticketing Issues? 
We're the only Box Office at Iwaki! Please ask your TL or SUP on call. 

What needs setting up?  
There should be 1-2 tables set up in the Iwaki foyer.  On these, please set up 2x laptops, eftpos machines, wifi dongle, programs if available, and merch if available. Please have HowScan scanners ready if available. 

Anything else? 
Typically we have one person on general Box Office/ticking enquiries at the table, one person on merch/program purchasing at the table, and one person at the Iwaki auditorium doors checking/scanning tickets or marking off names from the performance seating book. 
For Iwaki performances, there are two security guards. One is stationed at the front Iwaki doors, and the second is stationed down the hallway to scan people in to the ABC foyer bathrooms.

#venue #prep #shift #setup #remote #abc"
Venue Prep,Robert Blackwood Hall (RBH/Monash),"Where do I go? 
RBH is located at 49 Scenic Blvd, Clayton. You'll be given a cab charge in order to catch a taxi from ABC to RBH. Once at the taxi bay in Clayton, the Stage Door is the front small door of the building. The main foyer doors are around to the left. Inside, to the right of the entrance doors, is a small Box Office table where we can set up. 

Who do I speak to about Ticketing Issues? 
RBH Box Office will be to your right when seated at the MSO pop-up Box Office. They are inside a walled office, but there is a little windowed section when you can talk to the team. Because our tickets will be consigned to them, they'll be able to check house numbers, availability, names of customers, and reprint or pull comps if need be.

What needs setting up?  
1x FOTMSO Banner, 1x MSO Generic Banner in the foyer.
On the pop-up Box Office table you will need to set up 2x laptops, eftpos machines, wifi dongle, mini BOCA, and prepare programs and lost ticket passes. 

Anything else? 
There is often a pre-concert talk at RBH in the foyer. 

#venue #prep #shift #setup #remote"
Venue Prep,MCEC Plenary,"Where do I go? 
 The Plenary is inside the Melbourne Convention & Exhibition Centre, at 1 Convention Centre Pl. There is signage from the entrance leading to the Plenary, as the MCEC is quite a big space. The Box Office team meet outside the Plenary itself, at the pop up box office.

Who do I speak to about Ticketing Issues? 
We're the only Box Office for MSO at the Plenary! There should be a TL and Rowan on site for any questions. 

What needs to be brought to Plenary venue shifts?
2 x Laptops (LT bags include mouse, charger etc), Banners (as specified in concert sheet), 2 x EFTPOS machine, Wi-Fi box, 2 x Power Board, Extension Cord, Gaffe tape, Ticket Stock, 5 x Season Brochures, Lost Ticket Book, Stationary (Pens, notebook, scissors, blue-tack, sticky tape), BO Open Signage, Confidential Waste Folder, BOCA printer, QR Code Signage, Crocodile (Ticker Sorter). 

Anything else? 


#venue #prep #shift #setup #remote"
Venue Prep,Sidney Myer Music Bowl (SMMB),"Where do I go? 
SMMB Gate 7 

What needs to be brought to SMMB venue shifts?
2 x Laptops, Banners (as specified in concert sheet), 2 x Square EFTPOS machines, Wifi Box, Power Board, Extension Cord, Gaffa Tape, Black Tablecloth, BOCA Printer, Ticket Stock, 5 x Season Brochures, Stationary (Pens, notebook, scissors, blue-tack, sticky tape), BO Open Signage, QR Code Signage, Confidential Wase Box/Folder.

Who do I direct to for ticketing queries?
As SMMB is exclusively ticketed by Ticketek, queries must be directed to their entry counter if in relation to that day's performance. Our presence is solely for questions about other performances and general sub/customer queries.



#venue #prep #shift #setup #remote"
Customer and Product Overview,Programs,"Programs are available for some, but not all, performances and patrons. 

Typically, programs are available at core subscription performances. Previously subscribers have been sent a 'subscriber card', which they could show to receive their program. This year (2024) we won't be sending a card - subscribers can show their tickets, which will have their subscriber status printed on them.

Subscribers, Donors and Gold FOTMSO all receive free printed programs.
For all other customers, printed programs are $5 each. Programs can be purchased on the night, or pre-purchased online alongside tickets.

Free digital programs are sent out in the pre-concert reminder, available via the digital program banner at the concert, and available https://issuu.com/melbsymphony/1 

#concert-program #physical-program #digital-program"
Customer and Product Overview,Bumper Book of 2025 Concert Subscription Recommendations ,Bumper Book of 2025 Concert Subscription Recommendations from Luke Speedy-Hutton
Customer and Product Overview,Price Types,"List of common price types:

Price Type
Details
STAND
Standard - single ticket purchaser | No concession entitlements
CONC
Concession - single ticket purchaser | Eligible concession entitlements
ADD STA
Additional Standard - Current Subscriber purchaser | Getting tickets to concert outside of subscription package | Not exchange |No concession entitlements
ADD CONC
Additional Concession - Subscriber purchaser getting tickets to something outside of subscription package | Not exchange | Eligible concession entitlements
C CARD
Companion Card -  allocated with a paid CONC/STAND ticket | Companion Card number and expiry must be added to attributes before purchase is finalised.
COMP
Complimentary ticket - no charge ticket
CHILD
$20 Child Price Ticket - For attendees ages 2-17 years | A-D Reserve | Can only be redeemed on selected concerts
EX S SNG/PKG
Exchange Standard Single Ticket/Package (Subscriber) - Standard price type for a concert being exchanged into | No concession entitlements
EX C SNG/PKG
Exchange Concession Single Ticket/Package (Subscriber) - Standard price type for a concert being exchanged into | Eligible concession entitlements
GRP STN
Group Standard - a Standard ticket at a discounted price | Must be booked as part of 10+ tickets (STA/CON) to same performance day/time
GRP CON
Group Concession - a Concession ticket at a discounted price | Must be booked as part of 10+ tickets (STA/CON) to same performance day/time
STAFF
Staff ticket price - offers seating an price reserve discount | No quantity limit per concert
BRING
""Bring a Friend"" Complimentary FOTMSO Offer | Gold x 2 (A-D Reserve), Silver/U35 x 1 (A-D Reserve/B-D Reserve) | Can only be redeemed on selected concerts
U35
Under 35, $35 ticket | B-D Reserve | Can only be redeemed on selected concerts
STU MEM
Student Member $25 ticket | C-D Reserve | Can only be redeemed on selected concerts
STUMEMCOMP
Student Member Complimentary Ticket Offer | C-D Reserve |  Can only be redeemed on selected concerts
SUB STA/CONC
Subscriber Standard/Concession - Used for purchase of Set Series Subscription | If Concession, we must have concession details in customer account.
CYO STA/CONC



Create Your Own Standard/Concession - Used for purchase of ""Create Your Own"" Subscription | If Concession, we must have concession details in customer account.

MOBTIX                    Mob Tix are a special allocation of tickets that allows First Nations peoples both within and outside Australia access to a discounted rate to certain concerts."
Customer and Product Overview,Concession Card Details,"Carer Card - a new kind of concession card issued to the carers of people with accessibility or disability issues. Be careful about distinguishing the Carer Card (concession prices) from the Companion Card (free tickets). The concession applies only at Melbourne Town Hall and Chamber Series performances, similar to the Seniors Card.

Companion Card - issued when someone requires a companion to assist them to attend concerts, the Companion Card concession provides free of charge tickets to the companion. The person they are assisting pays their usual price (very often another concession).

Health Care Card - State Government-issued and means-tested cards that can be used to obtain concession prices at nearly all MSO concerts and subscriptions at Hamer Hall, Melbourne Town Hall, Melbourne Recital Centre and other venues.

Pensioner - State Government-issued and means-tested cards that can be used to obtain concession prices at nearly all MSO concerts and subscriptions at Hamer Hall, Melbourne Town Hall, Melbourne Recital Centre and other venues.

Seniors Cards - issued by the Victorian Government, not means-tested, eligible for MSO Concession pricing only at Melbourne Town Hall and Chamber Series concerts. Works more as a ""proof of age"" or ID card than a proper concession card.

Student - student members can obtain discounted MSO tickets to eligible concerts. The list of eligible concerts is subject to change without notice. Only concerts on the Student tickets listings apply for a student concession. A limit of 2 tickets per student at C reserve and under applies.

Veteran (with Department of Veteran Affairs white or gold card) - State Government-issued and means-tested cards that can be used to obtain concession prices at nearly all MSO concerts and subscriptions at Hamer Hall, Melbourne Town Hall, Melbourne Recital Centre and other venues.

War Widow - State Government-issued and means-tested cards that can be used to obtain concession prices at nearly all MSO concerts and subscriptions at Hamer Hall, Melbourne Town Hall, Melbourne Recital Centre and other venues.

https://www.servicesaustralia.gov.au/concession-and-health-care-cards?context=60091

#Pensioner #Senior #seniors #healthcare #Concession #disability #Carer #Student #Veteran #warwidow #companion"
Customer and Product Overview,Subscribers and Subscriptions,"Subscribers refer to customers who have purchases a set series subscription or create your own subscription (CYO) with us. 

A Subscription refers to series or performances booked together as a package. The same seat(s) are reserved in every performance within the package (aside from CYO), and these seats are held and can be renewed each year. Commercial or Special Event concerts are not available as part of these packages.

Subscribers receive:
    No exchange fees
    Free concert programs
    Save up to 20% on subscription tickets and 10% on additional tickets
    Discounts on merch
    Pre-sale access to new concerts

Core Subscriptions we offer include: 
    Thursday Nights Series (8 and 8 plus)
    Saturday Matinees Series 
    Saturday Nights Series 
    Quick Fix at Half Six Series 
    MSO Mornings Series 
    Town Hall Series 
    Recital Centre Series 
    Geelong Series 

Other Subscriptions include:
    Jams for Juniors
    Classic Kids
    Chamber Series 
*These subscriptions do not contain set seats that roll-over each year

Create Your Own (CYO) Subscriptions are subscriptions where the subscriber chooses 5 or more performances of their choice and bundle them together into a subscription. Some performances are ineligible to be included in a CYO Sub, like Jams for Juniors performances.

A breakdown of different types of subscriptions is available https://melbourneso.sharepoint.com/:w:/r/sites/MarketingSales2/_layouts/15/Doc.aspx?sourcedoc=%7B8ED566AE-2EC5-43AB-87B3-68ED2146D7AC%7D&file=MSO%20Quick-Start%20Welcome%20Guide.docx&action=default&mobileredirect=true on pg. 3
A full list of subscriptions, performances and costs can be foundhttps://www.mso.com.au/whats-on/season-2024


#CYO #Set #Subscription #subscribers "
